user_id,cluster
552249856,0
559694887,1
566160992,1
541052735,0
566283096,1
518384037,0
514758545,0
550285741,0
556551950,0
514613817,0
513304436,1
566286415,1
565522286,0
534820779,0
566287643,0
530852802,0
514649263,2
521569814,0
513453311,1
545127233,1
519859182,0
512713597,2
556972876,1
536629021,1
521668100,0
566022730,0
513159411,0
512772808,0
513251961,0
520796149,0
512685978,0
559451085,0
566296830,0
513183843,1
566180934,0
557955478,0
523057498,0
559374881,0
519143104,0
542222900,1
566298026,0
565820075,0
539696650,0
519351170,0
519189867,0
519597967,0
512749761,0
522584823,0
513485314,0
519050372,1
520626517,0
515791522,0
553662513,0
514522316,0
549810732,0
514951612,1
549033178,0
512917271,0
514551886,0
552972863,1
550341895,0
548856917,0
545773875,2
547284725,0
534239265,0
560411270,0
549026195,0
531939441,0
566172308,1
566304695,0
544621497,0
549496961,0
519078319,1
514482359,0
566305171,0
546369236,0
550165471,0
517444987,1
516208288,2
515929272,2
514904352,0
516239413,1
562841576,0
531523571,0
566307995,0
514758535,0
519163961,0
513359308,0
517425315,0
519195352,1
562469881,0
564951454,0
550907011,0
530673180,0
566309516,0
521808188,1
522748192,1
549553066,0
525457941,2
546223891,0
554229861,0
515785958,1
512424559,0
516707013,0
559691786,0
512863305,1
546735526,0
540212433,0
566312298,1
565964337,0
526249275,0
566165450,0
514574804,0
519247009,0
519137151,0
522445410,1
551361102,3
525234498,0
513281854,0
547853386,0
552343245,0
514112492,0
534844853,1
542135052,0
539958853,1
566306732,0
533617805,0
561876735,0
566193834,0
515341714,0
517112849,0
519280108,2
544668756,0
566315773,0
566315671,0
555711170,0
514426944,1
517506421,0
515941566,1
517572885,0
566316640,0
549238355,1
565107623,1
563598306,0
517682555,1
566317869,0
509881222,2
516049460,0
521874525,0
516620790,0
518713175,0
515569370,0
537210124,0
553088010,0
522429603,0
514419124,0
565121447,0
564308092,0
516796332,0
542101612,0
514725861,0
565961237,0
513309880,0
561605847,2
516979458,0
566321038,0
513611270,1
552170480,0
516630560,0
550095591,1
552610285,0
566322043,0
550462992,0
556902802,0
555475503,0
516249364,0
557936725,0
512761448,1
553056641,1
566214607,1
561765204,0
552266233,0
566323456,0
565311012,0
515593505,0
566323783,0
534688571,0
553803789,0
554241136,0
512774961,0
563284716,0
559223993,1
514077347,0
512707441,0
519915218,1
536285168,0
512425492,0
519254085,0
519288259,0
544235697,0
518990533,0
520965903,0
524263425,0
532317930,0
566326098,0
536612049,0
520424057,0
536455790,0
542567959,0
521333531,0
551436016,0
542820022,0
566328269,0
566328488,0
541512796,0
566328438,0
513481218,1
566328833,0
543794193,0
513090079,1
548511591,0
558742820,0
512822585,1
523992419,0
518335908,1
542220371,0
532030979,0
513840015,0
521696939,1
518615072,2
538734127,0
515802486,1
524876518,0
540379455,0
536427126,0
566331379,0
514629951,0
556611457,0
543081626,1
566331788,0
521174747,1
566313805,0
564025258,0
513582432,1
561056366,0
555194648,0
566333323,0
550344499,1
528329803,0
522582508,1
550908771,0
546224847,0
535477461,0
520635023,0
517506849,1
546383803,0
562474186,0
544286134,0
550969805,0
525031824,0
529444521,0
559763881,0
544129697,0
513564188,0
544460352,0
551428753,0
527024955,0
564690066,0
550428719,0
513794733,0
551454522,1
519143771,0
563510186,0
526594019,0
519696566,0
552987073,0
520033167,1
534949070,0
513996658,0
531155416,1
513923875,0
540004366,0
512962578,0
524424171,0
566337687,0
540489637,1
535764616,0
543516160,0
