product_id,user_id,rating
1002099,514511980,4.395527
1002099,566436955,4.3794556
1002099,566463171,4.357167
1002099,566664568,4.3507056
1002099,515903507,4.2908783
1002103,526175596,1.4509196
1002103,513241470,1.3986939
1002103,512790720,1.3878901
1002103,531641675,1.1135465
1002103,520058743,1.0619487
1002494,566436955,4.457055
1002494,514511980,4.4375286
1002494,566463171,4.434486
1002494,566664568,4.405801
1002494,513676055,4.3556075
1002546,566647095,4.117719
1002546,566664568,4.0880947
1002546,566463171,4.08679
1002546,514511980,4.075963
1002546,566436955,4.065917
1002550,566436955,3.816731
1002550,566463171,3.8097353
1002550,522835131,3.8001454
1002550,514511980,3.7985668
1002550,552167626,3.78146
1002904,542469170,2.6905646
1002904,513235412,2.6402135
1002904,512790720,2.6038814
1002904,513185363,2.5106559
1002904,563014779,2.433512
1003078,566436955,4.450894
1003078,566664568,4.4340534
1003078,514511980,4.4337077
1003078,563029084,4.4068704
1003078,513676055,4.40081
1003113,566436955,4.2750254
1003113,566647095,4.2489634
1003113,566463171,4.186928
1003113,566664568,4.183367
1003113,513676055,4.1767397
1003142,541310013,4.375512
1003142,513804361,4.2786794
1003142,566849342,4.272101
1003142,566414507,4.254513
1003142,542350237,4.243709
1003306,515903507,4.714956
1003306,560215234,4.686794
1003306,514166409,4.6497726
1003306,514511980,4.6149926
1003306,566851338,4.540244
1003328,566436955,4.4690146
1003328,566463171,4.4529
1003328,514511980,4.438024
1003328,566664568,4.4007506
1003328,513676055,4.3666534
1003418,566436955,4.4618444
1003418,514511980,4.439705
1003418,566463171,4.433105
1003418,566664568,4.421834
1003418,513676055,4.382504
1003461,566436955,4.496603
1003461,566463171,4.4827027
1003461,514511980,4.478531
1003461,566664568,4.4391046
1003461,515903507,4.3825407
1003503,566436955,4.3594375
1003503,566463171,4.325746
1003503,566664568,4.2982883
1003503,514511980,4.296369
1003503,566647095,4.2945113
1003534,566463171,4.501438
1003534,566436955,4.489582
1003534,514511980,4.4595637
1003534,566664568,4.405437
1003534,513676055,4.3676167
1003546,566436955,4.4721894
1003546,566647095,4.4045234
1003546,566664568,4.4025145
1003546,514511980,4.393155
1003546,513676055,4.3855734
1003712,515903507,4.443714
1003712,514511980,4.4403267
1003712,566463171,4.4316483
1003712,518603405,4.4182887
1003712,566436955,4.4115133
1003718,557046508,2.070074
1003718,515814386,1.9441413
1003718,566276996,1.8401787
1003718,512743832,1.8099039
1003718,515417480,1.798495
1003734,566436955,4.4276276
